Number,Description,Field,Data
1,"Research Strategy: Type of research (Quantitative, Qualitative, or Mixed).",strategy,
2,"Data Production: How data were produced (Primary or Secondary).",sampleProd,
3,"Time Management: Historical or non-historical approach.",timeAnalysis,
4,"Space Management: Historical or non-historical approach.",spaceAnalysis,
5,Abstract,abstract,
6,"Research Questions: Presence of clear questions.",studyQuestions,
7,"Working Hypotheses: Presence of guiding assumptions.",workAssumptions,
8,"Research Hypotheses: Specific hypotheses to be tested.",studyAssumptions,
9,"Reference Time of Data: When the data refer to.",sampleTimeReference,
10,"Data Collection Time: When the data were actually gathered.",sampleCollectionReference,
11,"Country/Countries of Reference: Where the study was conducted.",statesOfReference,
12,"Geographical Coverage: Specific areas covered (e.g., regions).",spatialCoverage,
13,"Geographical Unit: Smallest units covered (e.g., cities or communities).",geographicalUnit,
14,"Population: The group the research refers to.",population,
15,"Observation Unit: Specific subsets or units of the sample (e.g., individuals or households). ",basicUnit,
16,"Sample: The size of the sample.",sampleSize,
17,"Sampling Method: How the sample was selected (e.g., random). ",collectionMethod,
18,"Data Recording Method: How data were recorded (e.g., interview or survey). ",methodOfRecording,
19,"Data Analysis Method: The technique used (e.g., ANOVA). ",methodOfAnalysis,
20,"Recording Tools: Tools used for collection (e.g., interview guides). ",recordingTools,
21,"Analysis Tools: Software used (eg SPSS).",analysisTools,
22,Author First Name,firstName,
23,Author surname,surName,
24,Author Gender,gender,
25,Author FathersName,fathersName,
26,Title,title,
27,Supervisor Name,nameOfSupervisor,
28,Defense Date,dateOfSupport,
29,Number of Pages,numberOfPages,
30,Language,language,
31,"Type of work (eg undergraduate, graduate)",typeOfDissertation,
32,Keywords,keyWords,
33,Alternative Title ,altTitle,
34,Committee Member 1,nameOfCom1,
35,Committee Member 2,nameOfCom2,
36,Additional Notes,otherNotes,
37,The institution where the work was conducted,institution,
38,The department where the work was conducted,department,
39,The name of the program under which the work was conducted,program,
40,The internet link to the library,libraryLink,
41,The purpose of the research,target,
42,"Description (eg specific group of people)",sampleDescription,
